0|0|0|0|0|0|0|0
1200|1000|50|250|750|2250|4000|6000
0|0|0|0|0|0|0|0
1200|1000|50|250|750|2250|4000|6000
4000|4000|4000|4000|4000|4000|4000|4000
4000|0|500|1000|2000|4000|0|0
2000|1000|100|600|1800|5400|8000|11000
0|0|0|0|0|0|0|0
2000|1000|100|600|1800|5400|8000|11000
2400|1000|150|800|2000|6000|9000|12000
0|0|0|0|0|0|0|0
2800|2000|200|1000|3000|9000|12500|15000
3000|0|-1|-1|-1|-1|-1|-1
2800|2000|200|1000|3000|9000|12500|15000
3200|2000|250|1250|3750|10000|14000|18000
4000|0|500|1000|2000|4000|0|0
3600|2000|300|1400|4000|11000|15000|19000
0|0|0|0|0|0|0|0
3600|2000|300|1400|4000|11000|15000|19000
4000|2000|350|1600|4400|12000|16000|20000
0|0|0|0|0|0|0|0
4400|3000|350|1800|5000|14000|17500|21000
0|0|0|0|0|0|0|0
4400|3000|350|1800|5000|14000|17500|21000
4800|3000|400|2000|6000|15000|18500|22000
4000|0|500|1000|2000|4000|0|0
5200|3000|450|2200|6600|16000|19500|23000
5200|3000|450|2200|6600|16000|19500|23000
3000|0|-1|-1|-1|-1|-1|-1
5600|3000|500|2400|7200|17000|20500|24000
0|0|0|0|0|0|0|0
6000|4000|550|2600|7800|18000|22000|25000
6000|4000|550|2600|7800|18000|22000|25000
0|0|0|0|0|0|0|0
6400|4000|600|3000|9000|20000|24000|28000
4000|0|500|1000|2000|4000|0|0
0|0|0|0|0|0|0|0
7000|4000|700|3500|10000|22000|26000|30000
2000|0|0|0|0|0|0|0
8000|4000|1000|4000|12000|28000|34000|40000
